epoch,train_loss,train_acc,train_time_per_step,val_loss,val_acc
1,2.8934045234322547,0.295,2.5999007415771485,2.87224317073822,0.29
2,1.9182026654854416,0.465,2.5869030451774595,1.0539212840795518,0.67
3,1.6458975233323871,0.6,2.5856029319763185,1.5303348419629037,0.57
4,1.9006215147860348,0.525,2.5896932458877564,2.10457350990735,0.48
5,1.5792831117054449,0.6,2.5868549156188965,1.153956201118417,0.58
6,1.373546164240688,0.68,2.5936890602111817,1.136319079361856,0.78
7,1.1000045800787848,0.695,2.583276739120484,0.7582386416569352,0.79
8,1.4666484762041363,0.59,2.5894630432128904,0.8059272222836443,0.69
9,1.0379896925654066,0.685,2.587866961956024,1.5744853230872833,0.67
10,1.1493049266010416,0.735,2.588165783882141,2.2285379992420893,0.56
11,1.3120353184564737,0.68,2.591390833854675,1.8206062214914709,0.55
12,1.4463511612244475,0.685,2.5917852115631104,1.6172790585982149,0.61
13,1.5361382311428315,0.695,2.5939156198501587,1.6262443592757336,0.57
14,1.1400371401584015,0.69,2.589075195789337,1.2348832077588303,0.64
15,1.123838711831704,0.725,2.603982701301575,1.289159770167152,0.68
16,1.1770224723789489,0.715,2.588424711227417,1.5362180331662147,0.7
17,1.7075610362071894,0.655,2.595375068187713,3.026296757182099,0.56
18,1.4445197692361216,0.7,2.597316164970398,1.6532201812839775,0.69
19,1.7212928170971735,0.665,2.597436735630035,1.5317113839470855,0.67
20,0.985111563331434,0.765,2.5946596932411192,0.9542282301021624,0.82
21,1.0328854068811917,0.745,2.5897718691825866,1.221686703202017,0.78
22,1.2612734509471024,0.735,2.594216966629028,0.9096290303195564,0.72
23,1.0932946342254513,0.76,2.597291190624237,1.3548368551578915,0.7
24,1.118229761665325,0.79,2.6085238909721373,1.607992102111457,0.71
25,1.2998117832095315,0.715,2.5930481648445127,0.87708523800291,0.8
26,1.0406945679543085,0.75,2.5899320149421694,1.1343644033143938,0.81
27,1.7574455601889465,0.7,2.589454934597016,1.5368583632333312,0.71
28,1.958465574498148,0.675,2.5881143450737,2.0594892273682124,0.61
29,1.9112594923606112,0.665,2.5907386541366577,2.6086396194732515,0.56
30,1.7511404786325988,0.655,2.5938197779655456,1.3438869192409515,0.72
31,1.2860865386659577,0.755,2.5988235759735105,2.035817417136195,0.76
32,1.5704878064170225,0.775,2.598716278076172,0.8979948511574185,0.76
33,1.1249435418294145,0.74,2.596539511680603,1.1040940017954926,0.8
34,1.3158005604210825,0.75,2.6025594067573548,1.1523963687610197,0.73
35,1.3499774013113393,0.76,2.5974013304710386,0.9333848839589656,0.82
36,1.246612949384844,0.775,2.595726110935211,1.557958347759968,0.75
37,1.105457191446927,0.775,2.589659695625305,1.0985817134432,0.76
38,0.764299045469661,0.835,2.5922234296798705,1.4560583376035017,0.77
39,1.8438873437327072,0.68,2.583931086063385,1.2142597450915842,0.81
40,1.0940341063988042,0.76,2.5894688844680784,1.1341022255111783,0.77
41,1.8499054973499016,0.69,2.5855708360672,0.7765616804627462,0.81
42,1.4841558761874791,0.725,2.585445513725281,1.1501767994640248,0.81
43,1.34223367844665,0.78,2.594090597629547,0.9846405051976036,0.75
44,1.6090910742741165,0.75,2.590207214355469,1.7655163003667251,0.68
45,1.0627128768714649,0.8,2.593605020046234,0.8294958541627397,0.79
46,1.0289480583656396,0.785,2.598187131881714,0.8962425491993327,0.86
47,1.4210474691703123,0.775,2.592910881042481,0.8715304610820295,0.78
48,1.3319135175574677,0.74,2.593845863342285,1.7330519688377968,0.71
49,1.337347708422923,0.765,2.5938905119895934,1.1927730962797956,0.81
50,1.1916639187721894,0.79,2.595072455406189,1.4260772599929634,0.74
